,X,Y,date,I_131_(Bq/m3)
438,8.77,50.1,1986-05-15,0.0048000000000000004
439,8.77,50.1,1986-05-16,0.004600000000000001
440,8.77,50.1,1986-05-17,0.004400000000000001
441,8.77,50.1,1986-05-18,0.0042000000000000015
442,8.77,50.1,1986-05-19,0.004
443,8.77,50.1,1986-05-20,0.0038
444,8.77,50.1,1986-05-21,0.0036
445,8.77,50.1,1986-05-22,0.0034
446,8.77,50.1,1986-05-23,0.0031999999999999997
447,8.77,50.1,1986-05-24,0.0029999999999999996
448,8.77,50.1,1986-05-25,0.0027999999999999995
449,8.77,50.1,1986-05-26,0.0025999999999999994
450,8.77,50.1,1986-05-27,0.0023999999999999994
451,8.77,50.1,1986-05-28,0.0021999999999999993
452,8.77,50.1,1986-05-29,0.002
453,8.77,50.1,1986-05-30,0.001
454,8.77,50.1,1986-05-31,0.0
455,8.94,48.46,1986-04-27,0.0
456,8.94,48.46,1986-04-28,0.20666666666666667
457,8.94,48.46,1986-04-29,0.41333333333333333
458,8.94,48.46,1986-04-30,0.62
459,8.94,48.46,1986-05-01,4.787
460,8.94,48.46,1986-05-02,3.286
461,8.94,48.46,1986-05-03,1.464
462,8.94,48.46,1986-05-04,0.242
463,8.94,48.46,1986-05-05,0.201
464,8.94,48.46,1986-05-06,0.364
465,8.94,48.46,1986-05-07,0.34944
466,8.94,48.46,1986-05-08,0.33487999999999996
467,8.94,48.46,1986-05-09,0.32031999999999994
468,8.94,48.46,1986-05-10,0.3057599999999999
469,8.94,48.46,1986-05-11,0.2911999999999999
470,8.94,48.46,1986-05-12,0.2766399999999999
471,8.94,48.46,1986-05-13,0.26207999999999987
472,8.94,48.46,1986-05-14,0.24751999999999985
473,8.94,48.46,1986-05-15,0.23295999999999983
474,8.94,48.46,1986-05-16,0.21839999999999982
475,8.94,48.46,1986-05-17,0.2038399999999998
476,8.94,48.46,1986-05-18,0.18927999999999978
477,8.94,48.46,1986-05-19,0.17471999999999976
478,8.94,48.46,1986-05-20,0.16015999999999975
479,8.94,48.46,1986-05-21,0.14559999999999973
480,8.94,48.46,1986-05-22,0.1310399999999997
481,8.94,48.46,1986-05-23,0.1164799999999997
482,8.94,48.46,1986-05-24,0.10191999999999968
483,8.94,48.46,1986-05-25,0.08735999999999966
484,8.94,48.46,1986-05-26,0.07279999999999964
485,8.94,48.46,1986-05-27,0.058239999999999625
486,8.94,48.46,1986-05-28,0.04367999999999961
487,8.94,48.46,1986-05-29,0.02911999999999959
488,8.94,48.46,1986-05-30,0.014559999999999573
489,8.94,48.46,1986-05-31,0.0
490,11.34,48.0,1986-04-27,0.0
491,11.34,48.0,1986-04-28,1.888
492,11.34,48.0,1986-04-29,3.776
493,11.34,48.0,1986-04-30,5.664
494,11.34,48.0,1986-05-01,7.52
495,11.34,48.0,1986-05-02,2.7
496,11.34,48.0,1986-05-03,2.83
497,11.34,48.0,1986-05-04,0.63
498,11.34,48.0,1986-05-05,0.8
499,11.34,48.0,1986-05-06,0.97
500,11.34,48.0,1986-05-07,0.31
501,11.34,48.0,1986-05-08,0.2970833333333333
502,11.34,48.0,1986-05-09,0.2841666666666666
503,11.34,48.0,1986-05-10,0.27124999999999994
504,11.34,48.0,1986-05-11,0.25833333333333325
505,11.34,48.0,1986-05-12,0.24541666666666656
506,11.34,48.0,1986-05-13,0.23249999999999987
507,11.34,48.0,1986-05-14,0.21958333333333319
508,11.34,48.0,1986-05-15,0.2066666666666665
509,11.34,48.0,1986-05-16,0.1937499999999998
510,11.34,48.0,1986-05-17,0.18083333333333312
511,11.34,48.0,1986-05-18,0.16791666666666644
512,11.34,48.0,1986-05-19,0.15499999999999975
513,11.34,48.0,1986-05-20,0.14208333333333306
